DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-3153368,13/10/2022 12:43:00,GOOD,0-3153368,43.08873,5.99851
0-3153368,13/10/2022 12:38:00,GOOD,0-3153368,43.08544,5.99313
0-3153368,13/10/2022 12:33:00,GOOD,0-3153368,43.08516,5.9927
0-3153368,13/10/2022 12:28:00,GOOD,0-3153368,43.08485,5.9924
0-3153368,13/10/2022 12:23:00,GOOD,0-3153368,43.08456,5.99212
0-3153368,13/10/2022 12:18:00,GOOD,0-3153368,43.08426,5.99184
0-3153368,13/10/2022 12:13:00,GOOD,0-3153368,43.08398,5.99156
0-3153368,13/10/2022 12:09:00,GOOD,0-3153368,43.08373,5.99135
0-3153368,13/10/2022 12:03:00,GOOD,0-3153368,43.08342,5.99111
0-3153368,13/10/2022 11:58:00,GOOD,0-3153368,43.08315,5.99094
0-3153368,13/10/2022 11:53:00,GOOD,0-3153368,43.08293,5.99081
0-3153368,13/10/2022 11:48:00,GOOD,0-3153368,43.08268,5.99068
0-3153368,13/10/2022 11:43:00,GOOD,0-3153368,43.08248,5.99055
0-3153368,13/10/2022 11:38:00,GOOD,0-3153368,43.08226,5.99049
0-3153368,13/10/2022 11:34:00,GOOD,0-3153368,43.08206,5.99042
0-3153368,13/10/2022 11:29:00,GOOD,0-3153368,43.08183,5.9904
0-3153368,13/10/2022 11:24:00,GOOD,0-3153368,43.0816,5.9904
0-3153368,13/10/2022 11:19:00,GOOD,0-3153368,43.08138,5.9904
0-3153368,13/10/2022 11:14:00,GOOD,0-3153368,43.08116,5.99047
0-3153368,13/10/2022 11:09:00,GOOD,0-3153368,43.08097,5.99051
0-3153368,13/10/2022 11:04:00,GOOD,0-3153368,43.08076,5.99057
0-3153368,13/10/2022 10:59:00,GOOD,0-3153368,43.0806,5.99064
0-3153368,13/10/2022 10:54:00,GOOD,0-3153368,43.08047,5.99075
0-3153368,13/10/2022 10:49:00,GOOD,0-3153368,43.0803,5.99077
0-3153368,13/10/2022 10:44:00,GOOD,0-3153368,43.08013,5.99086
0-3153368,13/10/2022 10:39:00,GOOD,0-3153368,43.0799,5.99096
0-3153368,13/10/2022 10:34:00,GOOD,0-3153368,43.07969,5.99105
0-3153368,13/10/2022 10:29:00,GOOD,0-3153368,43.07954,5.99115
0-3153368,13/10/2022 10:24:00,GOOD,0-3153368,43.07943,5.99124
0-3153368,13/10/2022 10:19:00,GOOD,0-3153368,43.07932,5.99135
0-3153368,13/10/2022 10:14:00,GOOD,0-3153368,43.07924,5.99152
0-3153368,13/10/2022 10:09:00,GOOD,0-3153368,43.07919,5.99165
0-3153368,13/10/2022 10:04:00,GOOD,0-3153368,43.07906,5.99191
0-3153368,13/10/2022 9:59:00,GOOD,0-3153368,43.07893,5.99218
0-3153368,13/10/2022 9:54:00,GOOD,0-3153368,43.07877,5.9924
0-3153368,13/10/2022 9:49:00,GOOD,0-3153368,43.07862,5.99259
0-3153368,13/10/2022 9:44:00,GOOD,0-3153368,43.07855,5.99287
0-3153368,13/10/2022 9:39:00,GOOD,0-3153368,43.07854,5.99315
0-3153368,13/10/2022 9:34:00,GOOD,0-3153368,43.07857,5.99336
0-3153368,13/10/2022 9:29:00,GOOD,0-3153368,43.07858,5.9936
0-3153368,13/10/2022 9:24:00,GOOD,0-3153368,43.07866,5.99386
0-3153368,13/10/2022 9:19:00,GOOD,0-3153368,43.07877,5.99416
0-3153368,13/10/2022 9:14:00,GOOD,0-3153368,43.07884,5.99442
0-3153368,13/10/2022 9:09:00,GOOD,0-3153368,43.07891,5.99465
0-3153368,13/10/2022 9:04:00,GOOD,0-3153368,43.07904,5.99487
0-3153368,13/10/2022 8:59:00,GOOD,0-3153368,43.07915,5.99525
0-3153368,13/10/2022 8:54:00,GOOD,0-3153368,43.07922,5.99549
0-3153368,13/10/2022 8:49:00,GOOD,0-3153368,43.07928,5.99579
0-3153368,13/10/2022 8:44:00,GOOD,0-3153368,43.0794,5.99613
0-3153368,13/10/2022 8:39:00,GOOD,0-3153368,43.07953,5.99645
0-3153368,13/10/2022 8:34:00,GOOD,0-3153368,43.07965,5.99678
0-3153368,13/10/2022 8:29:00,GOOD,0-3153368,43.07971,5.99705
0-3153368,13/10/2022 8:24:00,GOOD,0-3153368,43.07984,5.99746
0-3153368,13/10/2022 8:19:00,GOOD,0-3153368,43.07986,5.99787
0-3153368,13/10/2022 8:14:00,GOOD,0-3153368,43.0799,5.99832
0-3153368,13/10/2022 8:09:00,GOOD,0-3153368,43.07988,5.99877
0-3153368,13/10/2022 8:04:00,GOOD,0-3153368,43.07984,5.99901
0-3153368,13/10/2022 7:59:00,GOOD,0-3153368,43.07986,5.99931
0-3153368,13/10/2022 7:54:00,GOOD,0-3153368,43.07988,5.99967
0-3153368,13/10/2022 7:49:00,GOOD,0-3153368,43.07909,6.00094
0-3153368,13/10/2022 7:44:00,GOOD,0-3153368,43.08035,5.98302
0-3153368,13/10/2022 7:39:00,GOOD,0-3153368,43.08298,5.9647
0-3153368,13/10/2022 7:34:00,GOOD,0-3153368,43.08521,5.94625
0-3153368,13/10/2022 7:29:00,GOOD,0-3153368,43.08772,5.92848
0-3153368,13/10/2022 7:24:00,GOOD,0-3153368,43.09484,5.9183
0-3153368,13/10/2022 7:19:00,GOOD,0-3153368,43.10458,5.91004
0-3153368,13/10/2022 7:14:00,GOOD,0-3153368,43.1064,5.89661
0-3153368,13/10/2022 7:10:00,GOOD,0-3153368,43.10424,5.88713
0-3153368,13/10/2022 7:05:00,GOOD,0-3153368,43.10532,5.88571
