DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-4410119,10/13/2022 12:30:00,GOOD,0-4410119,43.08086,5.97023
0-4410119,10/13/2022 12:25:00,GOOD,0-4410119,43.08093,5.96963
0-4410119,10/13/2022 12:20:00,GOOD,0-4410119,43.08086,5.9691
0-4410119,10/13/2022 12:16:00,GOOD,0-4410119,43.08075,5.9686
0-4410119,10/13/2022 12:10:00,GOOD,0-4410119,43.0806,5.96809
0-4410119,10/13/2022 12:05:00,GOOD,0-4410119,43.0804,5.96759
0-4410119,10/13/2022 12:00:00,GOOD,0-4410119,43.08022,5.96712
0-4410119,10/13/2022 11:55:00,GOOD,0-4410119,43.08003,5.96671
0-4410119,10/13/2022 11:50:00,GOOD,0-4410119,43.07977,5.96635
0-4410119,10/13/2022 11:45:00,GOOD,0-4410119,43.07951,5.96603
0-4410119,10/13/2022 11:40:00,GOOD,0-4410119,43.07919,5.96573
0-4410119,10/13/2022 11:35:00,GOOD,0-4410119,43.07888,5.9654
0-4410119,10/13/2022 11:30:00,GOOD,0-4410119,43.07856,5.96519
0-4410119,10/13/2022 11:25:00,GOOD,0-4410119,43.07826,5.96504
0-4410119,10/13/2022 11:20:00,GOOD,0-4410119,43.07793,5.96489
0-4410119,10/13/2022 11:15:00,GOOD,0-4410119,43.0775,5.96495
0-4410119,10/13/2022 11:10:00,GOOD,0-4410119,43.07721,5.96491
0-4410119,10/13/2022 11:05:00,GOOD,0-4410119,43.07687,5.96502
0-4410119,10/13/2022 11:00:00,GOOD,0-4410119,43.07655,5.96519
0-4410119,10/13/2022 10:55:00,GOOD,0-4410119,43.07626,5.9654
0-4410119,10/13/2022 10:50:00,GOOD,0-4410119,43.076,5.9656
0-4410119,10/13/2022 10:45:00,GOOD,0-4410119,43.07577,5.96583
0-4410119,10/13/2022 10:40:00,GOOD,0-4410119,43.0756,5.966
0-4410119,10/13/2022 10:35:00,GOOD,0-4410119,43.07543,5.96626
0-4410119,10/13/2022 10:30:00,GOOD,0-4410119,43.07531,5.96646
0-4410119,10/13/2022 10:25:00,GOOD,0-4410119,43.07516,5.96667
0-4410119,10/13/2022 10:20:00,GOOD,0-4410119,43.07507,5.96691
0-4410119,10/13/2022 10:16:00,GOOD,0-4410119,43.07499,5.96708
0-4410119,10/13/2022 10:10:00,GOOD,0-4410119,43.07491,5.9674
0-4410119,10/13/2022 10:05:00,GOOD,0-4410119,43.07491,5.9677
0-4410119,10/13/2022 10:00:00,GOOD,0-4410119,43.07495,5.96798
0-4410119,10/13/2022 9:55:00,GOOD,0-4410119,43.07497,5.9683
0-4410119,10/13/2022 9:50:00,GOOD,0-4410119,43.07502,5.96862
0-4410119,10/13/2022 9:45:00,GOOD,0-4410119,43.0751,5.96897
0-4410119,10/13/2022 9:40:00,GOOD,0-4410119,43.07523,5.96929
0-4410119,10/13/2022 9:35:00,GOOD,0-4410119,43.07537,5.96961
